Warehouse ID,Product ID,Product Name,Category,Quantity in Stock,Location,Supplier,Restock Frequency,Average Delivery Time (days),Stock Value (USD),Storage Temperature (C),Shelf Life (days),Hazardous Material,Reorder Level,Daily Sales (units),Daily Restock (units),Stock Level (units),Sales Forecast (units),Latitude,Longitude,State
7,142,Sofa,Electronics,209,Los Angeles,Supplier C,Weekly,3,928.77,28.1,89,No,38,14,23,359,12,34.0522,-118.2437,CA
8,121,T-Shirt,Footwear,345,New York,Supplier B,Weekly,8,183.13,-1.5,295,No,75,25,20,2,30,40.7128,-74.006,NY
5,119,Sofa,Groceries,446,Phoenix,Supplier B,Quarterly,12,884.0,19.3,131,No,10,26,40,329,47,33.4484,-112.074,AZ
3,107,Bananas,Clothing,41,Houston,Supplier A,Weekly,3,410.88,-5.4,92,No,93,21,28,123,40,29.7604,-95.3698,TX
8,128,Sofa,Groceries,396,Chicago,Supplier D,Monthly,7,276.58,16.0,204,No,10,16,48,236,40,41.8781,-87.6298,IL
6,139,Sofa,Footwear,477,Houston,Supplier D,Quarterly,14,206.52,20.4,226,Yes,13,10,1,383,22,29.7604,-95.3698,TX
3,189,Sofa,Clothing,473,Houston,Supplier C,Monthly,7,509.3,24.4,341,No,24,32,41,77,18,29.7604,-95.3698,TX
1,129,Bananas,Clothing,115,Houston,Supplier A,Weekly,7,672.57,19.4,251,Yes,56,44,11,78,14,29.7604,-95.3698,TX
3,180,Sofa,Electronics,100,Los Angeles,Supplier D,Weekly,14,899.24,26.9,219,No,39,45,44,332,25,34.0522,-118.2437,CA
5,183,Bananas,Furniture,373,Los Angeles,Supplier B,Monthly,12,655.92,10.8,157,Yes,15,20,31,163,10,34.0522,-118.2437,CA
3,154,T-Shirt,Electronics,438,Phoenix,Supplier A,Weekly,1,488.83,17.1,363,Yes,10,9,41,150,36,33.4484,-112.074,AZ
1,115,Laptop,Furniture,345,New York,Supplier B,Quarterly,11,43.14,4.8,75,Yes,80,34,38,469,48,40.7128,-74.006,NY
5,145,T-Shirt,Electronics,349,Chicago,Supplier A,Monthly,5,916.27,-9.6,98,No,71,31,9,48,48,41.8781,-87.6298,IL
7,161,Laptop,Furniture,139,Los Angeles,Supplier C,Quarterly,12,903.35,20.3,330,Yes,73,19,6,114,49,34.0522,-118.2437,CA
7,106,T-Shirt,Groceries,316,Houston,Supplier D,Quarterly,11,384.93,24.8,87,No,14,47,6,64,9,29.7604,-95.3698,TX
9,179,Laptop,Clothing,324,New York,Supplier D,Quarterly,1,38.74,-3.0,245,Yes,63,31,3,451,11,40.7128,-74.006,NY
3,144,Laptop,Furniture,334,Chicago,Supplier D,Weekly,7,736.04,-8.9,144,No,58,30,32,150,27,41.8781,-87.6298,IL
7,158,Sneakers,Groceries,302,Chicago,Supplier B,Weekly,13,793.76,-3.4,39,No,16,47,35,73,13,41.8781,-87.6298,IL
1,155,Laptop,Footwear,294,Chicago,Supplier D,Monthly,13,547.04,25.8,298,Yes,12,24,16,47,1,41.8781,-87.6298,IL
4,147,Laptop,Electronics,445,Chicago,Supplier A,Monthly,8,408.85,1.8,321,No,85,33,2,296,39,41.8781,-87.6298,IL
4,126,Sneakers,Footwear,17,Phoenix,Supplier B,Quarterly,7,852.62,-0.7,115,No,70,18,36,362,11,33.4484,-112.074,AZ
5,152,Sofa,Groceries,322,Chicago,Supplier C,Weekly,1,200.59,-9.4,176,No,88,21,41,181,3,41.8781,-87.6298,IL
7,186,Sofa,Footwear,456,New York,Supplier B,Weekly,3,445.16,1.9,147,Yes,93,31,7,374,2,40.7128,-74.006,NY
7,187,Sneakers,Footwear,292,Los Angeles,Supplier C,Weekly,10,34.24,18.6,164,No,50,39,35,259,46,34.0522,-118.2437,CA
4,172,Bananas,Groceries,74,New York,Supplier B,Monthly,3,172.37,28.4,44,No,30,42,30,95,42,40.7128,-74.006,NY
7,134,Laptop,Clothing,263,Houston,Supplier D,Weekly,7,941.42,2.5,331,Yes,41,41,45,101,24,29.7604,-95.3698,TX
3,150,Laptop,Furniture,484,Phoenix,Supplier C,Quarterly,4,582.3,-0.4,235,Yes,21,43,46,390,20,33.4484,-112.074,AZ
6,183,Sneakers,Electronics,16,Phoenix,Supplier D,Quarterly,12,807.54,25.5,262,No,16,4,29,398,49,33.4484,-112.074,AZ
2,136,Sneakers,Furniture,14,Houston,Supplier B,Quarterly,3,491.64,24.1,333,Yes,60,26,41,83,40,29.7604,-95.3698,TX
9,180,Bananas,Electronics,336,New York,Supplier C,Weekly,6,836.48,3.1,95,No,54,33,1,442,15,40.7128,-74.006,NY
5,194,Sofa,Furniture,281,New York,Supplier A,Quarterly,12,543.56,-7.2,33,Yes,74,44,44,82,6,40.7128,-74.006,NY
6,156,T-Shirt,Footwear,361,Houston,Supplier A,Quarterly,10,14.49,29.7,32,Yes,69,33,1,121,20,29.7604,-95.3698,TX
4,107,Sofa,Clothing,4,Chicago,Supplier B,Monthly,6,900.7,17.2,288,Yes,84,49,41,391,22,41.8781,-87.6298,IL
7,178,Laptop,Footwear,413,Chicago,Supplier C,Monthly,10,157.08,27.1,232,Yes,54,20,7,484,2,41.8781,-87.6298,IL
9,194,Sneakers,Clothing,127,Los Angeles,Supplier A,Weekly,5,456.05,3.7,354,No,43,41,3,413,15,34.0522,-118.2437,CA
7,193,Bananas,Groceries,312,New York,Supplier D,Weekly,12,481.91,15.9,269,Yes,92,8,36,3,48,40.7128,-74.006,NY
1,119,Sofa,Electronics,6,New York,Supplier D,Weekly,6,56.76,17.0,122,No,20,36,39,13,34,40.7128,-74.006,NY
1,152,Bananas,Electronics,129,Houston,Supplier B,Weekly,3,62.54,24.9,313,No,42,8,31,164,46,29.7604,-95.3698,TX
9,111,Sofa,Groceries,423,Houston,Supplier D,Weekly,14,764.93,29.7,52,No,17,31,25,105,31,29.7604,-95.3698,TX
9,148,Laptop,Furniture,385,Chicago,Supplier D,Monthly,13,307.45,-5.7,315,Yes,54,22,47,345,30,41.8781,-87.6298,IL
4,116,T-Shirt,Groceries,371,New York,Supplier D,Monthly,10,415.53,15.2,347,Yes,81,42,24,348,28,40.7128,-74.006,NY
9,163,Bananas,Groceries,232,New York,Supplier A,Monthly,5,568.47,3.5,116,Yes,87,47,1,166,33,40.7128,-74.006,NY
3,141,Bananas,Clothing,447,Phoenix,Supplier C,Quarterly,9,379.65,22.5,80,Yes,43,19,38,75,41,33.4484,-112.074,AZ
7,193,T-Shirt,Groceries,313,Los Angeles,Supplier B,Quarterly,4,777.29,20.2,326,No,54,20,31,60,49,34.0522,-118.2437,CA
6,128,Bananas,Electronics,195,Los Angeles,Supplier C,Monthly,11,885.62,25.7,349,Yes,74,23,37,233,21,34.0522,-118.2437,CA
8,118,Bananas,Footwear,65,Chicago,Supplier C,Monthly,2,69.12,3.7,72,No,82,24,11,382,46,41.8781,-87.6298,IL
9,110,Sofa,Clothing,321,New York,Supplier C,Weekly,5,639.05,-2.6,233,Yes,61,43,49,73,23,40.7128,-74.006,NY
5,197,Sofa,Clothing,103,Phoenix,Supplier A,Monthly,3,324.48,-9.1,87,Yes,19,24,3,278,42,33.4484,-112.074,AZ
1,149,T-Shirt,Furniture,277,New York,Supplier D,Weekly,12,587.44,0.2,88,No,52,36,12,149,13,40.7128,-74.006,NY
3,170,Laptop,Footwear,493,Houston,Supplier B,Monthly,3,489.07,4.7,197,Yes,91,9,20,123,45,29.7604,-95.3698,TX
8,157,Bananas,Clothing,158,Chicago,Supplier C,Weekly,4,340.34,27.8,203,Yes,90,40,30,467,26,41.8781,-87.6298,IL
6,133,Laptop,Groceries,224,Los Angeles,Supplier D,Monthly,12,103.87,9.7,347,No,79,16,10,289,19,34.0522,-118.2437,CA
8,119,T-Shirt,Clothing,289,New York,Supplier A,Weekly,4,563.85,12.3,236,Yes,20,27,39,4,27,40.7128,-74.006,NY
9,149,T-Shirt,Clothing,432,Chicago,Supplier C,Quarterly,5,121.66,25.2,140,No,97,45,15,481,40,41.8781,-87.6298,IL
4,187,Sofa,Clothing,278,Los Angeles,Supplier D,Quarterly,7,164.56,25.4,52,No,45,37,21,237,7,34.0522,-118.2437,CA
1,109,Bananas,Furniture,478,New York,Supplier A,Weekly,4,982.35,11.1,262,Yes,27,13,18,208,25,40.7128,-74.006,NY
1,131,Sneakers,Clothing,182,Phoenix,Supplier D,Weekly,11,323.54,-5.5,304,No,72,2,32,172,49,33.4484,-112.074,AZ
4,151,T-Shirt,Clothing,366,Chicago,Supplier B,Quarterly,7,588.59,0.8,201,No,14,12,19,385,40,41.8781,-87.6298,IL
7,114,Bananas,Furniture,4,New York,Supplier D,Monthly,9,279.51,8.3,40,Yes,40,41,30,446,36,40.7128,-74.006,NY
2,183,Laptop,Footwear,215,Los Angeles,Supplier D,Weekly,3,866.85,20.0,89,Yes,25,33,33,207,7,34.0522,-118.2437,CA
3,102,Sofa,Electronics,439,Los Angeles,Supplier B,Monthly,5,290.51,18.5,261,Yes,75,23,22,150,20,34.0522,-118.2437,CA
1,136,Laptop,Furniture,428,Phoenix,Supplier B,Quarterly,4,373.22,15.7,264,No,18,14,45,224,24,33.4484,-112.074,AZ
5,139,T-Shirt,Furniture,217,Chicago,Supplier D,Quarterly,9,612.3,25.2,32,No,11,39,29,59,28,41.8781,-87.6298,IL
1,171,T-Shirt,Clothing,396,Chicago,Supplier B,Weekly,5,871.29,22.1,173,Yes,46,49,24,293,49,41.8781,-87.6298,IL
8,139,Laptop,Clothing,209,New York,Supplier D,Monthly,10,818.05,29.3,259,No,93,30,4,151,5,40.7128,-74.006,NY
1,155,T-Shirt,Electronics,463,Los Angeles,Supplier C,Quarterly,2,271.22,25.6,38,No,68,46,12,161,36,34.0522,-118.2437,CA
1,122,Bananas,Clothing,74,Los Angeles,Supplier D,Monthly,10,831.26,-2.2,326,Yes,90,49,36,113,31,34.0522,-118.2437,CA
2,110,T-Shirt,Groceries,227,Phoenix,Supplier A,Quarterly,1,704.18,-7.7,323,Yes,67,34,4,232,33,33.4484,-112.074,AZ
2,163,Sofa,Clothing,375,Phoenix,Supplier B,Weekly,7,989.93,6.6,354,Yes,98,9,5,406,24,33.4484,-112.074,AZ
6,107,Bananas,Clothing,436,Chicago,Supplier C,Monthly,11,936.09,14.7,222,No,92,15,19,448,10,41.8781,-87.6298,IL
7,192,Sneakers,Groceries,93,Los Angeles,Supplier B,Monthly,1,537.81,15.7,320,No,17,24,41,488,38,34.0522,-118.2437,CA
5,193,T-Shirt,Electronics,460,New York,Supplier B,Weekly,8,752.43,0.7,156,Yes,61,48,39,383,44,40.7128,-74.006,NY
1,155,T-Shirt,Groceries,65,Houston,Supplier B,Weekly,9,574.48,24.4,77,No,84,41,31,446,49,29.7604,-95.3698,TX
1,159,Sofa,Furniture,321,New York,Supplier A,Weekly,7,599.05,3.2,136,Yes,86,25,7,374,5,40.7128,-74.006,NY
3,109,Sofa,Groceries,10,Phoenix,Supplier A,Weekly,9,110.49,26.8,293,Yes,86,36,12,438,31,33.4484,-112.074,AZ
2,138,Laptop,Footwear,402,New York,Supplier D,Quarterly,10,12.22,8.9,282,Yes,82,32,10,186,9,40.7128,-74.006,NY
5,127,Laptop,Furniture,303,Los Angeles,Supplier A,Monthly,6,57.7,-9.6,56,No,78,47,29,239,32,34.0522,-118.2437,CA
6,148,Laptop,Clothing,322,Chicago,Supplier B,Quarterly,7,966.96,-3.5,38,No,91,21,21,247,41,41.8781,-87.6298,IL
7,135,Sofa,Furniture,305,Houston,Supplier C,Weekly,3,135.01,-5.9,249,No,61,42,13,140,5,29.7604,-95.3698,TX
4,112,Laptop,Electronics,456,Chicago,Supplier C,Quarterly,14,53.95,-8.2,187,No,87,39,23,112,27,41.8781,-87.6298,IL
7,195,Laptop,Electronics,278,Houston,Supplier C,Quarterly,14,316.55,18.6,43,No,43,6,6,402,28,29.7604,-95.3698,TX
8,135,Sneakers,Groceries,86,Houston,Supplier B,Monthly,9,592.3,-2.3,58,No,95,47,31,480,43,29.7604,-95.3698,TX
1,125,Laptop,Furniture,26,Los Angeles,Supplier A,Monthly,3,948.98,23.5,55,Yes,57,25,9,195,12,34.0522,-118.2437,CA
6,185,T-Shirt,Clothing,218,Los Angeles,Supplier C,Monthly,6,702.89,0.6,243,Yes,33,2,24,444,5,34.0522,-118.2437,CA
8,103,Sofa,Electronics,393,Phoenix,Supplier B,Weekly,4,283.59,-8.7,172,Yes,22,31,16,125,8,33.4484,-112.074,AZ
5,194,Bananas,Clothing,405,Phoenix,Supplier B,Weekly,9,939.67,22.8,144,Yes,59,30,11,356,17,33.4484,-112.074,AZ
4,181,Sneakers,Footwear,95,Houston,Supplier C,Monthly,1,45.68,8.6,358,No,74,15,36,239,8,29.7604,-95.3698,TX
2,163,Sofa,Electronics,244,Phoenix,Supplier C,Quarterly,9,979.26,14.0,247,Yes,80,18,1,494,34,33.4484,-112.074,AZ
6,137,Sofa,Groceries,447,Los Angeles,Supplier D,Monthly,12,68.05,3.4,110,Yes,13,32,21,1,23,34.0522,-118.2437,CA
6,187,T-Shirt,Footwear,107,Phoenix,Supplier D,Weekly,4,756.31,-8.2,230,Yes,73,14,44,121,18,33.4484,-112.074,AZ
1,186,Laptop,Furniture,390,Houston,Supplier B,Quarterly,10,54.84,4.8,96,No,83,18,36,89,10,29.7604,-95.3698,TX
9,121,T-Shirt,Clothing,248,Chicago,Supplier D,Weekly,5,932.25,10.7,278,Yes,48,35,37,20,39,41.8781,-87.6298,IL
6,101,Laptop,Electronics,14,New York,Supplier D,Monthly,11,117.58,-9.5,173,Yes,72,22,6,273,41,40.7128,-74.006,NY
3,130,Laptop,Footwear,161,Phoenix,Supplier C,Monthly,13,59.97,13.0,170,Yes,67,14,14,177,44,33.4484,-112.074,AZ
4,110,Sofa,Footwear,71,Los Angeles,Supplier D,Quarterly,1,890.37,25.7,125,Yes,25,38,29,406,44,34.0522,-118.2437,CA
4,191,Laptop,Electronics,152,Chicago,Supplier B,Monthly,14,104.84,-1.3,147,No,93,14,1,114,5,41.8781,-87.6298,IL
3,145,Sneakers,Furniture,457,Los Angeles,Supplier C,Weekly,1,799.95,27.1,347,No,71,34,8,417,43,34.0522,-118.2437,CA
3,195,Sneakers,Furniture,75,Phoenix,Supplier D,Weekly,6,749.56,-6.1,214,Yes,19,22,47,282,17,33.4484,-112.074,AZ
