Warehouse ID,Product ID,Product Name,Category,Quantity in Stock,Location,Supplier,Restock Frequency,Average Delivery Time (days),Stock Value (USD),Storage Temperature (C),Shelf Life (days),Hazardous Material,Reorder Level,Daily Sales (units),Daily Restock (units),Stock Level (units),Sales Forecast (units),Latitude,Longitude,State,timestamp
9,174,T-Shirt,Clothing,328.0,New York,Supplier D,Weekly,14.0,86.99,26.6,251.0,No,69.0,17.0,9,447,17,40.7128,-74.006,NY,
3,131,Sofa,Electronics,448.0,Houston,Supplier C,Monthly,13.0,838.71,-5.5,196.0,Yes,19.0,40.0,16,70,12,29.7604,-95.3698,TX,
5,110,Sneakers,Furniture,165.0,Los Angeles,Supplier A,Weekly,4.0,976.2,12.8,303.0,No,27.0,45.0,22,301,4,34.0522,-118.2437,CA,
3,160,Bananas,Groceries,415.0,Houston,Supplier A,Weekly,1.0,97.24,26.7,89.0,No,99.0,47.0,12,68,41,29.7604,-95.3698,TX,
7,117,T-Shirt,Clothing,421.0,Los Angeles,Supplier B,Quarterly,4.0,815.79,-4.6,142.0,Yes,93.0,36.0,5,282,14,34.0522,-118.2437,CA,
5,126,Laptop,Electronics,128.0,Houston,Supplier B,Weekly,14.0,860.62,6.5,250.0,Yes,50.0,28.0,39,282,4,29.7604,-95.3698,TX,
9,154,Sneakers,Furniture,45.0,Chicago,Supplier A,Quarterly,2.0,127.57,-6.4,308.0,Yes,45.0,47.0,15,154,34,41.8781,-87.6298,IL,
7,153,T-Shirt,Clothing,218.0,Chicago,Supplier A,Monthly,6.0,290.42,-5.5,97.0,Yes,94.0,23.0,45,462,18,41.8781,-87.6298,IL,
2,181,Laptop,Clothing,235.0,Phoenix,Supplier B,Monthly,6.0,736.32,26.2,344.0,Yes,75.0,31.0,8,446,13,33.4484,-112.074,AZ,
4,186,Sneakers,Groceries,136.0,Phoenix,Supplier A,Quarterly,8.0,809.65,7.8,292.0,Yes,55.0,46.0,24,224,10,33.4484,-112.074,AZ,
9,174,T-Shirt,Electronics,168.0,New York,Supplier B,Weekly,9.0,360.43,17.5,298.0,Yes,32.0,11.0,19,368,14,40.7128,-74.006,NY,
2,120,T-Shirt,Footwear,481.0,Los Angeles,Supplier A,Monthly,8.0,168.33,-4.4,160.0,No,48.0,20.0,37,348,9,34.0522,-118.2437,CA,
9,143,Sneakers,Clothing,237.0,Chicago,Supplier C,Monthly,1.0,651.86,-9.1,296.0,Yes,13.0,32.0,18,189,43,41.8781,-87.6298,IL,
5,104,T-Shirt,Furniture,93.0,Houston,Supplier C,Monthly,13.0,704.95,25.6,237.0,No,50.0,17.0,21,386,20,29.7604,-95.3698,TX,
2,186,Sofa,Groceries,5.0,New York,Supplier D,Quarterly,3.0,508.57,13.0,241.0,Yes,12.0,42.0,49,41,1,40.7128,-74.006,NY,
4,140,Sneakers,Groceries,156.0,Houston,Supplier A,Monthly,6.0,153.49,-9.2,80.0,Yes,62.0,38.0,39,173,44,29.7604,-95.3698,TX,
7,158,T-Shirt,Clothing,245.0,Chicago,Supplier B,Monthly,1.0,846.04,29.7,317.0,No,83.0,6.0,14,469,29,41.8781,-87.6298,IL,
8,188,Laptop,Clothing,360.0,Chicago,Supplier A,Monthly,8.0,648.81,9.7,71.0,No,45.0,1.0,15,238,17,41.8781,-87.6298,IL,
3,153,Laptop,Clothing,81.0,Chicago,Supplier A,Monthly,14.0,870.47,9.0,276.0,No,58.0,37.0,49,270,49,41.8781,-87.6298,IL,
1,173,Sofa,Footwear,247.0,Chicago,Supplier D,Quarterly,6.0,933.64,14.8,224.0,No,36.0,4.0,3,165,8,41.8781,-87.6298,IL,
4,121,Sneakers,Clothing,343.0,Houston,Supplier B,Quarterly,1.0,807.64,-9.7,273.0,Yes,62.0,31.0,45,130,17,29.7604,-95.3698,TX,
2,182,T-Shirt,Electronics,493.0,New York,Supplier A,Weekly,10.0,959.07,12.8,229.0,Yes,58.0,11.0,11,5,21,40.7128,-74.006,NY,
8,164,T-Shirt,Furniture,137.0,Chicago,Supplier B,Monthly,2.0,954.72,15.2,150.0,Yes,92.0,17.0,3,358,25,41.8781,-87.6298,IL,
4,163,Laptop,Clothing,386.0,Phoenix,Supplier A,Quarterly,6.0,623.15,1.9,363.0,Yes,10.0,7.0,30,130,20,33.4484,-112.074,AZ,
2,170,Sofa,Footwear,63.0,New York,Supplier D,Weekly,10.0,730.89,19.1,357.0,Yes,99.0,35.0,6,385,25,40.7128,-74.006,NY,
6,103,Laptop,Furniture,480.0,Phoenix,Supplier B,Weekly,14.0,702.41,5.1,232.0,No,55.0,2.0,6,176,21,33.4484,-112.074,AZ,
6,164,Laptop,Groceries,307.0,Houston,Supplier A,Monthly,8.0,624.92,18.7,135.0,Yes,71.0,40.0,31,22,13,29.7604,-95.3698,TX,
4,114,Sofa,Clothing,116.0,Chicago,Supplier C,Weekly,5.0,29.16,-4.2,279.0,Yes,86.0,37.0,22,41,13,41.8781,-87.6298,IL,
6,175,Sneakers,Furniture,113.0,New York,Supplier B,Quarterly,1.0,362.35,26.5,318.0,No,75.0,37.0,21,153,47,40.7128,-74.006,NY,
2,121,T-Shirt,Groceries,31.0,Chicago,Supplier D,Weekly,14.0,109.08,25.2,108.0,No,31.0,10.0,38,46,30,41.8781,-87.6298,IL,
2,185,Sneakers,Footwear,7.0,Chicago,Supplier C,Weekly,10.0,307.26,-4.0,194.0,No,48.0,12.0,38,350,13,41.8781,-87.6298,IL,
4,146,Bananas,Electronics,414.0,New York,Supplier B,Quarterly,2.0,77.88,27.5,363.0,Yes,53.0,17.0,6,9,40,40.7128,-74.006,NY,
8,180,Bananas,Clothing,442.0,Chicago,Supplier B,Weekly,4.0,920.83,12.3,148.0,No,11.0,46.0,29,445,7,41.8781,-87.6298,IL,
7,192,Bananas,Electronics,3.0,Chicago,Supplier B,Weekly,4.0,456.82,18.1,86.0,No,84.0,26.0,46,101,42,41.8781,-87.6298,IL,
9,145,Sofa,Footwear,307.0,Los Angeles,Supplier B,Weekly,7.0,197.47,23.6,217.0,No,68.0,5.0,11,47,12,34.0522,-118.2437,CA,
8,113,Laptop,Furniture,243.0,Los Angeles,Supplier A,Weekly,2.0,588.93,-6.7,81.0,No,99.0,5.0,48,330,2,34.0522,-118.2437,CA,
5,149,Sneakers,Furniture,56.0,New York,Supplier A,Monthly,7.0,204.49,-3.2,101.0,No,37.0,38.0,22,207,14,40.7128,-74.006,NY,
2,119,T-Shirt,Footwear,73.0,New York,Supplier B,Monthly,7.0,806.4,1.6,270.0,Yes,99.0,47.0,39,241,42,40.7128,-74.006,NY,
5,149,Bananas,Footwear,10.0,Chicago,Supplier D,Quarterly,7.0,312.86,9.1,353.0,Yes,90.0,27.0,6,3,17,41.8781,-87.6298,IL,
8,132,Sneakers,Clothing,61.0,Phoenix,Supplier A,Weekly,13.0,321.75,3.8,129.0,No,76.0,5.0,30,264,13,33.4484,-112.074,AZ,
9,158,Bananas,Groceries,494.0,New York,Supplier B,Quarterly,3.0,871.25,10.2,184.0,No,23.0,8.0,43,409,1,40.7128,-74.006,NY,
9,142,Bananas,Electronics,50.0,Chicago,Supplier B,Monthly,6.0,563.61,-2.6,88.0,No,25.0,31.0,25,36,47,41.8781,-87.6298,IL,
1,178,T-Shirt,Electronics,122.0,Phoenix,Supplier D,Weekly,12.0,888.43,17.3,304.0,No,60.0,33.0,36,299,1,33.4484,-112.074,AZ,
9,111,Sofa,Furniture,175.0,Los Angeles,Supplier D,Weekly,6.0,418.76,-7.8,288.0,No,37.0,21.0,1,243,47,34.0522,-118.2437,CA,
7,139,Laptop,Furniture,474.0,New York,Supplier D,Monthly,4.0,350.49,4.5,230.0,No,62.0,35.0,22,238,26,40.7128,-74.006,NY,
9,119,Sofa,Clothing,1.0,Chicago,Supplier C,Weekly,1.0,511.14,-2.8,324.0,Yes,61.0,21.0,9,434,47,41.8781,-87.6298,IL,
8,193,Sneakers,Footwear,478.0,Los Angeles,Supplier B,Weekly,9.0,70.88,19.2,351.0,No,34.0,15.0,45,319,46,34.0522,-118.2437,CA,
1,137,Sofa,Electronics,441.0,Houston,Supplier D,Monthly,2.0,162.66,25.3,358.0,No,66.0,36.0,8,469,13,29.7604,-95.3698,TX,
8,102,Sneakers,Clothing,38.0,Los Angeles,Supplier B,Quarterly,9.0,227.33,-6.8,313.0,No,18.0,2.0,34,418,34,34.0522,-118.2437,CA,
8,127,Sneakers,Furniture,190.0,Chicago,Supplier A,Quarterly,8.0,818.51,21.4,205.0,No,20.0,30.0,16,219,40,41.8781,-87.6298,IL,
3,155,Laptop,Furniture,79.0,Phoenix,Supplier B,Weekly,1.0,736.46,25.8,127.0,Yes,54.0,28.0,19,201,9,33.4484,-112.074,AZ,
1,189,T-Shirt,Electronics,345.0,Houston,Supplier B,Monthly,11.0,201.37,29.0,211.0,No,94.0,17.0,8,394,19,29.7604,-95.3698,TX,
8,193,Laptop,Furniture,454.0,Houston,Supplier C,Quarterly,7.0,283.98,13.2,301.0,Yes,11.0,44.0,12,27,23,29.7604,-95.3698,TX,
3,112,Sofa,Furniture,338.0,Houston,Supplier A,Quarterly,13.0,944.82,3.1,64.0,No,63.0,20.0,43,89,41,29.7604,-95.3698,TX,
3,176,Sneakers,Groceries,449.0,New York,Supplier A,Weekly,10.0,94.94,2.9,360.0,No,43.0,40.0,41,269,28,40.7128,-74.006,NY,
1,165,Bananas,Footwear,190.0,Chicago,Supplier C,Quarterly,3.0,551.98,5.2,116.0,No,51.0,29.0,31,307,30,41.8781,-87.6298,IL,
5,136,Bananas,Furniture,184.0,Houston,Supplier D,Monthly,10.0,526.79,14.5,187.0,No,86.0,5.0,42,324,7,29.7604,-95.3698,TX,
7,148,Sneakers,Groceries,67.0,Los Angeles,Supplier D,Quarterly,13.0,728.45,9.6,354.0,Yes,78.0,25.0,33,124,14,34.0522,-118.2437,CA,
9,165,Laptop,Clothing,17.0,Phoenix,Supplier B,Monthly,10.0,268.82,16.1,145.0,No,20.0,10.0,19,400,2,33.4484,-112.074,AZ,
7,135,T-Shirt,Furniture,383.0,Chicago,Supplier C,Monthly,14.0,935.42,-8.4,37.0,Yes,38.0,19.0,27,396,12,41.8781,-87.6298,IL,
9,153,Laptop,Clothing,368.0,Los Angeles,Supplier D,Weekly,14.0,416.48,-5.8,136.0,Yes,14.0,41.0,24,281,43,34.0522,-118.2437,CA,
8,125,Sneakers,Furniture,392.0,New York,Supplier A,Quarterly,14.0,292.86,29.1,136.0,No,29.0,48.0,49,496,49,40.7128,-74.006,NY,
2,174,Sneakers,Electronics,316.0,Houston,Supplier C,Weekly,9.0,343.5,29.8,143.0,Yes,48.0,1.0,28,255,2,29.7604,-95.3698,TX,
1,171,T-Shirt,Groceries,497.0,Los Angeles,Supplier D,Quarterly,5.0,355.24,19.9,39.0,Yes,83.0,47.0,4,433,28,34.0522,-118.2437,CA,
7,139,Sofa,Groceries,296.0,Chicago,Supplier A,Weekly,11.0,206.94,0.3,313.0,No,41.0,34.0,12,400,28,41.8781,-87.6298,IL,
7,142,Sofa,Electronics,209.0,Los Angeles,Supplier C,Weekly,3.0,928.77,28.1,89.0,No,38.0,14.0,23,359,12,34.0522,-118.2437,CA,
8,121,T-Shirt,Footwear,345.0,New York,Supplier B,Weekly,8.0,183.13,-1.5,295.0,No,75.0,25.0,20,2,30,40.7128,-74.006,NY,
5,119,Sofa,Groceries,446.0,Phoenix,Supplier B,Quarterly,12.0,884.0,19.3,131.0,No,10.0,26.0,40,329,47,33.4484,-112.074,AZ,
3,107,Bananas,Clothing,41.0,Houston,Supplier A,Weekly,3.0,410.88,-5.4,92.0,No,93.0,21.0,28,123,40,29.7604,-95.3698,TX,
8,128,Sofa,Groceries,396.0,Chicago,Supplier D,Monthly,7.0,276.58,16.0,204.0,No,10.0,16.0,48,236,40,41.8781,-87.6298,IL,
6,139,Sofa,Footwear,477.0,Houston,Supplier D,Quarterly,14.0,206.52,20.4,226.0,Yes,13.0,10.0,1,383,22,29.7604,-95.3698,TX,
3,189,Sofa,Clothing,473.0,Houston,Supplier C,Monthly,7.0,509.3,24.4,341.0,No,24.0,32.0,41,77,18,29.7604,-95.3698,TX,
1,129,Bananas,Clothing,115.0,Houston,Supplier A,Weekly,7.0,672.57,19.4,251.0,Yes,56.0,44.0,11,78,14,29.7604,-95.3698,TX,
3,180,Sofa,Electronics,100.0,Los Angeles,Supplier D,Weekly,14.0,899.24,26.9,219.0,No,39.0,45.0,44,332,25,34.0522,-118.2437,CA,
5,183,Bananas,Furniture,373.0,Los Angeles,Supplier B,Monthly,12.0,655.92,10.8,157.0,Yes,15.0,20.0,31,163,10,34.0522,-118.2437,CA,
3,154,T-Shirt,Electronics,438.0,Phoenix,Supplier A,Weekly,1.0,488.83,17.1,363.0,Yes,10.0,9.0,41,150,36,33.4484,-112.074,AZ,
1,115,Laptop,Furniture,345.0,New York,Supplier B,Quarterly,11.0,43.14,4.8,75.0,Yes,80.0,34.0,38,469,48,40.7128,-74.006,NY,
5,145,T-Shirt,Electronics,349.0,Chicago,Supplier A,Monthly,5.0,916.27,-9.6,98.0,No,71.0,31.0,9,48,48,41.8781,-87.6298,IL,
7,161,Laptop,Furniture,139.0,Los Angeles,Supplier C,Quarterly,12.0,903.35,20.3,330.0,Yes,73.0,19.0,6,114,49,34.0522,-118.2437,CA,
7,106,T-Shirt,Groceries,316.0,Houston,Supplier D,Quarterly,11.0,384.93,24.8,87.0,No,14.0,47.0,6,64,9,29.7604,-95.3698,TX,
9,179,Laptop,Clothing,324.0,New York,Supplier D,Quarterly,1.0,38.74,-3.0,245.0,Yes,63.0,31.0,3,451,11,40.7128,-74.006,NY,
3,144,Laptop,Furniture,334.0,Chicago,Supplier D,Weekly,7.0,736.04,-8.9,144.0,No,58.0,30.0,32,150,27,41.8781,-87.6298,IL,
7,158,Sneakers,Groceries,302.0,Chicago,Supplier B,Weekly,13.0,793.76,-3.4,39.0,No,16.0,47.0,35,73,13,41.8781,-87.6298,IL,
1,155,Laptop,Footwear,294.0,Chicago,Supplier D,Monthly,13.0,547.04,25.8,298.0,Yes,12.0,24.0,16,47,1,41.8781,-87.6298,IL,
4,147,Laptop,Electronics,445.0,Chicago,Supplier A,Monthly,8.0,408.85,1.8,321.0,No,85.0,33.0,2,296,39,41.8781,-87.6298,IL,
4,126,Sneakers,Footwear,17.0,Phoenix,Supplier B,Quarterly,7.0,852.62,-0.7,115.0,No,70.0,18.0,36,362,11,33.4484,-112.074,AZ,
5,152,Sofa,Groceries,322.0,Chicago,Supplier C,Weekly,1.0,200.59,-9.4,176.0,No,88.0,21.0,41,181,3,41.8781,-87.6298,IL,
7,186,Sofa,Footwear,456.0,New York,Supplier B,Weekly,3.0,445.16,1.9,147.0,Yes,93.0,31.0,7,374,2,40.7128,-74.006,NY,
7,187,Sneakers,Footwear,292.0,Los Angeles,Supplier C,Weekly,10.0,34.24,18.6,164.0,No,50.0,39.0,35,259,46,34.0522,-118.2437,CA,
4,172,Bananas,Groceries,74.0,New York,Supplier B,Monthly,3.0,172.37,28.4,44.0,No,30.0,42.0,30,95,42,40.7128,-74.006,NY,
7,134,Laptop,Clothing,263.0,Houston,Supplier D,Weekly,7.0,941.42,2.5,331.0,Yes,41.0,41.0,45,101,24,29.7604,-95.3698,TX,
3,150,Laptop,Furniture,484.0,Phoenix,Supplier C,Quarterly,4.0,582.3,-0.4,235.0,Yes,21.0,43.0,46,390,20,33.4484,-112.074,AZ,
6,183,Sneakers,Electronics,16.0,Phoenix,Supplier D,Quarterly,12.0,807.54,25.5,262.0,No,16.0,4.0,29,398,49,33.4484,-112.074,AZ,
2,136,Sneakers,Furniture,14.0,Houston,Supplier B,Quarterly,3.0,491.64,24.1,333.0,Yes,60.0,26.0,41,83,40,29.7604,-95.3698,TX,
9,180,Bananas,Electronics,336.0,New York,Supplier C,Weekly,6.0,836.48,3.1,95.0,No,54.0,33.0,1,442,15,40.7128,-74.006,NY,
5,194,Sofa,Furniture,281.0,New York,Supplier A,Quarterly,12.0,543.56,-7.2,33.0,Yes,74.0,44.0,44,82,6,40.7128,-74.006,NY,
6,156,T-Shirt,Footwear,361.0,Houston,Supplier A,Quarterly,10.0,14.49,29.7,32.0,Yes,69.0,33.0,1,121,20,29.7604,-95.3698,TX,
4,107,Sofa,Clothing,4.0,Chicago,Supplier B,Monthly,6.0,900.7,17.2,288.0,Yes,84.0,49.0,41,391,22,41.8781,-87.6298,IL,
7,178,Laptop,Footwear,413.0,Chicago,Supplier C,Monthly,10.0,157.08,27.1,232.0,Yes,54.0,20.0,7,484,2,41.8781,-87.6298,IL,
9,194,Sneakers,Clothing,127.0,Los Angeles,Supplier A,Weekly,5.0,456.05,3.7,354.0,No,43.0,41.0,3,413,15,34.0522,-118.2437,CA,
7,193,Bananas,Groceries,312.0,New York,Supplier D,Weekly,12.0,481.91,15.9,269.0,Yes,92.0,8.0,36,3,48,40.7128,-74.006,NY,
1,119,Sofa,Electronics,6.0,New York,Supplier D,Weekly,6.0,56.76,17.0,122.0,No,20.0,36.0,39,13,34,40.7128,-74.006,NY,
1,152,Bananas,Electronics,129.0,Houston,Supplier B,Weekly,3.0,62.54,24.9,313.0,No,42.0,8.0,31,164,46,29.7604,-95.3698,TX,
9,111,Sofa,Groceries,423.0,Houston,Supplier D,Weekly,14.0,764.93,29.7,52.0,No,17.0,31.0,25,105,31,29.7604,-95.3698,TX,
9,148,Laptop,Furniture,385.0,Chicago,Supplier D,Monthly,13.0,307.45,-5.7,315.0,Yes,54.0,22.0,47,345,30,41.8781,-87.6298,IL,
4,116,T-Shirt,Groceries,371.0,New York,Supplier D,Monthly,10.0,415.53,15.2,347.0,Yes,81.0,42.0,24,348,28,40.7128,-74.006,NY,
9,163,Bananas,Groceries,232.0,New York,Supplier A,Monthly,5.0,568.47,3.5,116.0,Yes,87.0,47.0,1,166,33,40.7128,-74.006,NY,
3,141,Bananas,Clothing,447.0,Phoenix,Supplier C,Quarterly,9.0,379.65,22.5,80.0,Yes,43.0,19.0,38,75,41,33.4484,-112.074,AZ,
7,193,T-Shirt,Groceries,313.0,Los Angeles,Supplier B,Quarterly,4.0,777.29,20.2,326.0,No,54.0,20.0,31,60,49,34.0522,-118.2437,CA,
6,128,Bananas,Electronics,195.0,Los Angeles,Supplier C,Monthly,11.0,885.62,25.7,349.0,Yes,74.0,23.0,37,233,21,34.0522,-118.2437,CA,
8,118,Bananas,Footwear,65.0,Chicago,Supplier C,Monthly,2.0,69.12,3.7,72.0,No,82.0,24.0,11,382,46,41.8781,-87.6298,IL,
9,110,Sofa,Clothing,321.0,New York,Supplier C,Weekly,5.0,639.05,-2.6,233.0,Yes,61.0,43.0,49,73,23,40.7128,-74.006,NY,
5,197,Sofa,Clothing,103.0,Phoenix,Supplier A,Monthly,3.0,324.48,-9.1,87.0,Yes,19.0,24.0,3,278,42,33.4484,-112.074,AZ,
1,149,T-Shirt,Furniture,277.0,New York,Supplier D,Weekly,12.0,587.44,0.2,88.0,No,52.0,36.0,12,149,13,40.7128,-74.006,NY,
3,170,Laptop,Footwear,493.0,Houston,Supplier B,Monthly,3.0,489.07,4.7,197.0,Yes,91.0,9.0,20,123,45,29.7604,-95.3698,TX,
8,157,Bananas,Clothing,158.0,Chicago,Supplier C,Weekly,4.0,340.34,27.8,203.0,Yes,90.0,40.0,30,467,26,41.8781,-87.6298,IL,
6,133,Laptop,Groceries,224.0,Los Angeles,Supplier D,Monthly,12.0,103.87,9.7,347.0,No,79.0,16.0,10,289,19,34.0522,-118.2437,CA,
8,119,T-Shirt,Clothing,289.0,New York,Supplier A,Weekly,4.0,563.85,12.3,236.0,Yes,20.0,27.0,39,4,27,40.7128,-74.006,NY,
9,149,T-Shirt,Clothing,432.0,Chicago,Supplier C,Quarterly,5.0,121.66,25.2,140.0,No,97.0,45.0,15,481,40,41.8781,-87.6298,IL,
4,187,Sofa,Clothing,278.0,Los Angeles,Supplier D,Quarterly,7.0,164.56,25.4,52.0,No,45.0,37.0,21,237,7,34.0522,-118.2437,CA,
1,109,Bananas,Furniture,478.0,New York,Supplier A,Weekly,4.0,982.35,11.1,262.0,Yes,27.0,13.0,18,208,25,40.7128,-74.006,NY,
1,131,Sneakers,Clothing,182.0,Phoenix,Supplier D,Weekly,11.0,323.54,-5.5,304.0,No,72.0,2.0,32,172,49,33.4484,-112.074,AZ,
4,151,T-Shirt,Clothing,366.0,Chicago,Supplier B,Quarterly,7.0,588.59,0.8,201.0,No,14.0,12.0,19,385,40,41.8781,-87.6298,IL,
7,114,Bananas,Furniture,4.0,New York,Supplier D,Monthly,9.0,279.51,8.3,40.0,Yes,40.0,41.0,30,446,36,40.7128,-74.006,NY,
2,183,Laptop,Footwear,215.0,Los Angeles,Supplier D,Weekly,3.0,866.85,20.0,89.0,Yes,25.0,33.0,33,207,7,34.0522,-118.2437,CA,
3,102,Sofa,Electronics,439.0,Los Angeles,Supplier B,Monthly,5.0,290.51,18.5,261.0,Yes,75.0,23.0,22,150,20,34.0522,-118.2437,CA,
1,136,Laptop,Furniture,428.0,Phoenix,Supplier B,Quarterly,4.0,373.22,15.7,264.0,No,18.0,14.0,45,224,24,33.4484,-112.074,AZ,
5,139,T-Shirt,Furniture,217.0,Chicago,Supplier D,Quarterly,9.0,612.3,25.2,32.0,No,11.0,39.0,29,59,28,41.8781,-87.6298,IL,
1,171,T-Shirt,Clothing,396.0,Chicago,Supplier B,Weekly,5.0,871.29,22.1,173.0,Yes,46.0,49.0,24,293,49,41.8781,-87.6298,IL,
8,139,Laptop,Clothing,209.0,New York,Supplier D,Monthly,10.0,818.05,29.3,259.0,No,93.0,30.0,4,151,5,40.7128,-74.006,NY,
1,155,T-Shirt,Electronics,463.0,Los Angeles,Supplier C,Quarterly,2.0,271.22,25.6,38.0,No,68.0,46.0,12,161,36,34.0522,-118.2437,CA,
1,122,Bananas,Clothing,74.0,Los Angeles,Supplier D,Monthly,10.0,831.26,-2.2,326.0,Yes,90.0,49.0,36,113,31,34.0522,-118.2437,CA,
2,110,T-Shirt,Groceries,227.0,Phoenix,Supplier A,Quarterly,1.0,704.18,-7.7,323.0,Yes,67.0,34.0,4,232,33,33.4484,-112.074,AZ,
2,163,Sofa,Clothing,375.0,Phoenix,Supplier B,Weekly,7.0,989.93,6.6,354.0,Yes,98.0,9.0,5,406,24,33.4484,-112.074,AZ,
6,107,Bananas,Clothing,436.0,Chicago,Supplier C,Monthly,11.0,936.09,14.7,222.0,No,92.0,15.0,19,448,10,41.8781,-87.6298,IL,
7,192,Sneakers,Groceries,93.0,Los Angeles,Supplier B,Monthly,1.0,537.81,15.7,320.0,No,17.0,24.0,41,488,38,34.0522,-118.2437,CA,
5,193,T-Shirt,Electronics,460.0,New York,Supplier B,Weekly,8.0,752.43,0.7,156.0,Yes,61.0,48.0,39,383,44,40.7128,-74.006,NY,
1,155,T-Shirt,Groceries,65.0,Houston,Supplier B,Weekly,9.0,574.48,24.4,77.0,No,84.0,41.0,31,446,49,29.7604,-95.3698,TX,
